messages
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""两种是一样的吗""},{""role"":""assistant"",""content"":""一样的呢就是数量不同哦亲""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""评价说小是不是还有大点的呢""},{""role"":""assistant"",""content"":""对的亲这款1020的这款1520的""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""加在一起买不用邮费吧""},{""role"":""assistant"",""content"":""一包250g495是的呢""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""你看看""},{""role"":""assistant"",""content"":""恩恩""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""买6份可便宜点啊""},{""role"":""assistant"",""content"":""价格最低了哦""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""退货地址给我""},{""role"":""assistant"",""content"":""您好""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""啥意思""},{""role"":""assistant"",""content"":""708已经是特价了呢""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""现在购买是399吗""},{""role"":""assistant"",""content"":""预热中买不了哦""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""我要2袋奶油的""},{""role"":""assistant"",""content"":""好的亲亲""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""我拍了那个套装洗涤套装""},{""role"":""assistant"",""content"":""袜子都是不包邮的哦""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""什么时候能收到武汉着急用""},{""role"":""assistant"",""content"":""拍下后72小时内发货哦具体快递时间现在不能保证""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""但是物流没有显示""},{""role"":""assistant"",""content"":""邮政还没有来收走晚点您在看看""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""订单显示有5元的运费""},{""role"":""assistant"",""content"":""麻烦您提交一下帮您去一下哦""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""那发货了没有这都好长时间了我买的别的订单在你家后头都到货了""},{""role"":""assistant"",""content"":""等待快递揽件哦""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""这个是干湿两用吗""},{""role"":""assistant"",""content"":""对的亲收到是干的""}]"
"[{""role"":""system"",""content"":""你是一个专业的电商客服。严格遵守：1) 仅以‘assistant’角色回答一次；2) 不要提出新问题，不要延长对话；3) 不要生成‘user’或其他角色的内容；4) 输出只包含答案正文，无前后缀角色标签、无思考过程。""},{""role"":""user"",""content"":""哦哦""},{""role"":""assistant"",""content"":""嗯嗯亲""}]"
